dataset,dataset_key,model,data_type,method,epsilon,trial_id,roc_auc,pr_auc,fpr_at_tpr95,accuracy,f1,precision,recall,config,source_file
MNIST,mnist,CNN,Image,topology,0.1,trial_000001,0.81561875,0.7811128582005048,0.58,0.73,0.7049180327868854,0.7771084337349398,0.645,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000001/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000002,0.84793125,0.851960227130198,0.5875,0.61125,0.37675350701402804,0.9494949494949495,0.235,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000002/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000003,0.8207625000000001,0.8033281434884991,0.7,0.7425,0.6952662721893491,0.8514492753623188,0.5875,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000003/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000004,0.86230625,0.8656718777499505,0.515,0.7775,0.7839805825242718,0.7617924528301887,0.8075,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000004/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000005,0.8485375,0.840121079475029,0.58,0.765,0.7374301675977653,0.8354430379746836,0.66,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000005/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000006,0.84535625,0.8420342789508781,0.585,0.70875,0.6223662884927066,0.8847926267281107,0.48,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000006/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000007,0.85316875,0.8528817521379093,0.525,0.78,0.7628032345013477,0.827485380116959,0.7075,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000007/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000008,0.8421749999999999,0.8345810399772727,0.6425,0.76875,0.7575360419397118,0.7961432506887053,0.7225,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000008/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000009,0.8442250000000001,0.8337044131917741,0.61,0.76375,0.7490039840637449,0.7988668555240793,0.705,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000009/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000010,0.8406875,0.824303772669231,0.605,0.7625,0.7557840616966581,0.7777777777777778,0.735,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000010/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000011,0.8510375,0.8376163411652442,0.63,0.7925,0.7904040404040404,0.798469387755102,0.7825,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000011/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000012,0.8708374999999999,0.8773115261761907,0.5325,0.78625,0.7752956636005257,0.817174515235457,0.7375,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000012/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000013,0.8437875000000001,0.8382836272568658,0.6275,0.7725,0.754054054054054,0.8205882352941176,0.6975,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000013/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000014,0.8530562500000001,0.8456616381072822,0.595,0.7375,0.6837349397590362,0.8598484848484849,0.5675,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000014/metrics/metrics.json
MNIST,mnist,CNN,Image,topology,0.1,trial_000015,0.8456,0.8406151018345751,0.6425,0.67625,0.5557461406518012,0.8852459016393442,0.405,base_e_0.1,out/mnist/base_e_0.1/runs/trials/trial_000015/metrics/metrics.json
MNIST,mnist,CNN,Image,baseline,0.1,trial_000001,0.9524062500000001,0.9442792531429947,0.195,0.88375,0.8883553421368547,0.8545034642032333,0.925,baseline/base_e_0.1,out/mnist/baseline/base_e_0.1/runs/trials/trial_000001/metrics/metrics.json
MNIST,mnist,CNN,Image,baseline,0.1,trial_000002,0.95429375,0.9458643161701005,0.1875,0.56875,0.2483660130718954,0.9661016949152542,0.1425,baseline/base_e_0.1,out/mnist/baseline/base_e_0.1/runs/trials/trial_000002/metrics/metrics.json
MNIST,mnist,CNN,Image,baseline,0.1,trial_000003,0.9411125,0.9408324872300473,0.285,0.8575,0.8503937007874015,0.8950276243093923,0.81,baseline/base_e_0.1,out/mnist/baseline/base_e_0.1/runs/trials/trial_000003/metrics/metrics.json
MNIST,mnist,CNN,Image,baseline,0.1,trial_000004,0.9498187499999999,0.9414049617762479,0.225,0.8775,0.8852459016393444,0.8325991189427313,0.945,baseline/base_e_0.1,out/mnist/baseline/base_e_0.1/runs/trials/trial_000004/metrics/metrics.json
