trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
8,0.965299,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
9,0.965299,none,63,60,8,0.00062599,0.000173749,87.0188
11,0.965243,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
12,0.965175,none,69,84,48,1.25774e-06,2.20157e-06,91.3018
7,0.965096,pca,73,85,42,1.91301e-06,0.000218742,88.6021
2,0.96504,pca,53,87,10,0.000879136,0.000203079,98.8762
13,0.96504,pca,53,93,11,3.64254e-07,0.000830055,96.137
14,0.965028,pca,51,92,4,3.88902e-08,1.03767e-06,94.8717
15,0.96496,none,74,84,41,2.85278e-07,3.90674e-05,91.033
1,0.964802,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
