trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
9,0.854915,none,63,60,8,0.00062599,0.000173749,87.0188
7,0.851186,pca,73,85,42,1.91301e-06,0.000218742,88.6021
2,0.849096,pca,53,87,10,0.000879136,0.000203079,98.8762
15,0.848136,none,78,117,22,5.12019e-06,0.000103788,81.222
8,0.846497,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
1,0.843559,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.843559,none,83,68,61,3.51536e-07,0.0140192,96.6645
12,0.841582,pca,85,10,44,0.000395688,3.82855e-06,86.3502
11,0.839944,pca,108,52,43,5.46683e-05,0.000306611,81.4808
4,0.838192,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
