threshold,tp,fp,tn,fn,tpr,fpr,precision,recall,f1
0.6562581796298486,60,295,0,0,1.0,1.0,0.16901408450704225,1.0,0.2891566265060241
0.7300256951436443,60,294,1,0,1.0,0.9966101694915255,0.1694915254237288,1.0,0.2898550724637681
1.0183546738287808,60,293,2,0,1.0,0.9932203389830508,0.16997167138810199,1.0,0.29055690072639223
1.1180131470625971,60,292,3,0,1.0,0.9898305084745763,0.17045454545454544,1.0,0.2912621359223301
1.1843006729595085,59,292,3,1,0.9833333333333333,0.9898305084745763,0.16809116809116809,0.9833333333333333,0.2871046228710462
1.1960528716668368,59,291,4,1,0.9833333333333333,0.9864406779661017,0.16857142857142857,0.9833333333333333,0.28780487804878047
1.200899300266331,59,290,5,1,0.9833333333333333,0.9830508474576272,0.16905444126074498,0.9833333333333333,0.2885085574572127
1.2273873887230196,58,290,5,2,0.9666666666666667,0.9830508474576272,0.16666666666666666,0.9666666666666667,0.28431372549019607
1.2532670873721123,58,289,6,2,0.9666666666666667,0.9796610169491525,0.16714697406340057,0.9666666666666667,0.28501228501228504
1.2585365994535989,57,289,6,3,0.95,0.9796610169491525,0.16473988439306358,0.95,0.28078817733990147
1.2849990233752353,56,289,6,4,0.9333333333333333,0.9796610169491525,0.16231884057971013,0.9333333333333333,0.2765432098765432
1.2985990260509068,56,288,7,4,0.9333333333333333,0.976271186440678,0.16279069767441862,0.9333333333333333,0.27722772277227725
1.3280808140614595,56,287,8,4,0.9333333333333333,0.9728813559322034,0.16326530612244897,0.9333333333333333,0.27791563275434245
1.3749394888545199,56,286,9,4,0.9333333333333333,0.9694915254237289,0.16374269005847952,0.9333333333333333,0.27860696517412936
1.3902347254688687,56,285,10,4,0.9333333333333333,0.9661016949152542,0.16422287390029325,0.9333333333333333,0.2793017456359102
1.39415251137933,56,284,11,4,0.9333333333333333,0.9627118644067797,0.16470588235294117,0.9333333333333333,0.28
1.3983249567674083,56,283,12,4,0.9333333333333333,0.9593220338983051,0.16519174041297935,0.9333333333333333,0.2807017543859649
1.415265837009719,56,282,13,4,0.9333333333333333,0.9559322033898305,0.16568047337278108,0.9333333333333333,0.2814070351758794
