trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.906615,pca,5,32,43,6.24621e-08,0.00269875,95.981
3,0.894601,none,8,14,12,0.000348887,0.0120364,90.0857
13,0.894601,none,8,15,28,7.47516e-07,0.072121,94.843
12,0.894253,pca,8,28,5,0.000215184,1.80093e-06,88.7769
11,0.884583,none,10,15,24,4.30519e-06,0.0939722,92.151
15,0.866823,none,16,31,53,2.19577e-05,0.000127147,98.7401
4,0.843889,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
10,0.842378,pca,104,54,38,3.79278e-07,0.00217036,85.9142
8,0.841632,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
5,0.84125,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
