trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
10,0.517401,pca,104,54,38,3.79278e-07,0.00217036,85.9142
9,0.516045,none,63,60,8,0.00062599,0.000173749,87.0188
12,0.509096,pca,104,56,34,0.000186395,1.30251e-06,93.1013
5,0.500452,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
11,0.494746,pca,108,52,43,5.46683e-05,0.000306611,81.4808
2,0.490904,pca,53,87,10,0.000879136,0.000203079,98.8762
7,0.486045,pca,73,85,42,1.91301e-06,0.000218742,88.6021
15,0.481695,none,62,68,38,2.54752e-07,2.96303e-05,97.014
8,0.473842,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
6,0.471186,none,83,68,61,3.51536e-07,0.0140192,96.6645
