trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
8,0.902722,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
13,0.901387,pca,53,69,12,5.99921e-08,0.0480402,86.7801
2,0.901284,pca,53,87,10,0.000879136,0.000203079,98.8762
11,0.899846,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
9,0.899538,none,63,60,8,0.00062599,0.000173749,87.0188
14,0.899332,pca,66,55,16,4.46318e-08,0.0649032,88.9193
7,0.890293,pca,73,85,42,1.91301e-06,0.000218742,88.6021
1,0.883308,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.883308,none,83,68,61,3.51536e-07,0.0140192,96.6645
12,0.880534,pca,85,10,44,0.000395688,3.82855e-06,86.3502
