trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
10,0.728855,pca,104,54,38,3.79278e-07,0.00217036,85.9142
4,0.72844,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
5,0.728137,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
3,0.72771,none,8,14,12,0.000348887,0.0120364,90.0857
8,0.726925,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
6,0.726869,none,83,68,61,3.51536e-07,0.0140192,96.6645
1,0.726824,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
2,0.724826,pca,53,87,10,0.000879136,0.000203079,98.8762
9,0.723008,none,63,60,8,0.00062599,0.000173749,87.0188
7,0.722806,pca,73,85,42,1.91301e-06,0.000218742,88.6021
