trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
11,0.954007,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.953872,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
10,0.953861,pca,104,54,38,3.79278e-07,0.00217036,85.9142
12,0.953513,pca,85,10,44,0.000395688,3.82855e-06,86.3502
14,0.953255,pca,117,10,4,0.000329668,0.000522636,96.5386
15,0.95321,pca,119,108,62,3.16981e-08,1.20325e-05,89.6623
4,0.953165,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
1,0.953165,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.953165,none,83,68,61,3.51536e-07,0.0140192,96.6645
7,0.952783,pca,73,85,42,1.91301e-06,0.000218742,88.6021
