trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
3,0.693858,none,8,14,12,0.000348887,0.0120364,90.0857
14,0.690534,none,12,120,9,1.18897e-05,0.0041977,94.4098
12,0.688318,pca,49,85,3,0.000449804,0.000667351,95.7056
8,0.686869,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
9,0.684013,none,63,60,8,0.00062599,0.000173749,87.0188
15,0.683416,pca,7,10,45,1.39702e-06,0.0128424,84.3366
2,0.682521,pca,53,87,10,0.000879136,0.000203079,98.8762
13,0.682521,pca,53,93,11,3.64254e-07,0.000830055,96.137
11,0.681115,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
7,0.666795,pca,73,85,42,1.91301e-06,0.000218742,88.6021
