trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
11,0.560621,none,95,6,43,3.74276e-07,1.79183e-06,81.7965
1,0.557463,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
13,0.521498,pca,95,9,55,7.92776e-06,1.48388e-06,89.9294
14,0.512321,pca,97,16,48,2.34753e-08,0.00596036,87.6496
12,0.496022,pca,85,10,44,0.000395688,3.82855e-06,86.3502
15,0.493013,pca,78,10,39,1.62524e-07,0.0894975,84.7376
6,0.477012,none,83,68,61,3.51536e-07,0.0140192,96.6645
7,0.462144,pca,73,85,42,1.91301e-06,0.000218742,88.6021
2,0.458896,pca,53,87,10,0.000879136,0.000203079,98.8762
4,0.455529,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
