trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
13,0.907475,pca,53,69,12,5.99921e-08,0.0480402,86.7801
6,0.898275,none,83,68,61,3.51536e-07,0.0140192,96.6645
2,0.884325,pca,53,87,10,0.000879136,0.000203079,98.8762
7,0.88245,pca,73,85,42,1.91301e-06,0.000218742,88.6021
8,0.870275,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
10,0.8667,pca,104,54,38,3.79278e-07,0.00217036,85.9142
4,0.865775,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
15,0.86565,none,62,68,38,2.54752e-07,2.96303e-05,97.014
14,0.8599,pca,23,72,10,0.000528726,6.88993e-06,92.3599
9,0.846625,none,63,60,8,0.00062599,0.000173749,87.0188
