trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.814115,pca,5,32,43,6.24621e-08,0.00269875,95.981
15,0.802392,none,6,70,64,3.50096e-08,0.000387671,90.1907
12,0.789394,pca,8,28,5,0.000215184,1.80093e-06,88.7769
13,0.783652,none,8,15,28,7.47516e-07,0.072121,94.843
3,0.782297,none,8,14,12,0.000348887,0.0120364,90.0857
11,0.766108,none,10,15,24,4.30519e-06,0.0939722,92.151
8,0.548884,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
2,0.526874,pca,53,87,10,0.000879136,0.000203079,98.8762
9,0.503509,none,63,60,8,0.00062599,0.000173749,87.0188
7,0.48764,pca,73,85,42,1.91301e-06,0.000218742,88.6021
