trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
3,0.997129,none,8,14,12,0.000348887,0.0120364,90.0857
8,0.978469,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
12,0.978469,pca,49,85,3,0.000449804,0.000667351,95.7056
14,0.978389,pca,51,92,4,3.88902e-08,1.03767e-06,94.8717
2,0.97823,pca,53,87,10,0.000879136,0.000203079,98.8762
13,0.97823,pca,53,93,11,3.64254e-07,0.000830055,96.137
15,0.97807,none,57,58,15,1.74415e-07,1.61669e-06,97.285
11,0.977273,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
9,0.976874,none,63,60,8,0.00062599,0.000173749,87.0188
7,0.967544,pca,73,85,42,1.91301e-06,0.000218742,88.6021
