trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
4,0.7,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
1,0.680519,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
7,0.590909,pca,73,85,42,1.91301e-06,0.000218742,88.6021
3,0.562987,none,8,14,12,0.000348887,0.0120364,90.0857
5,0.544805,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
2,0.528571,pca,53,87,10,0.000879136,0.000203079,98.8762
10,0.461039,pca,104,54,38,3.79278e-07,0.00217036,85.9142
8,0.45974,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
9,0.453247,none,63,60,8,0.00062599,0.000173749,87.0188
6,0.338961,none,83,68,61,3.51536e-07,0.0140192,96.6645
