trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
13,0.714205,none,120,38,62,1.87116e-08,0.0300196,93.2727
4,0.703977,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
14,0.698295,none,107,56,31,1.39769e-07,0.000419749,92.1119
15,0.696591,pca,108,59,35,0.000167148,0.000602247,92.519
10,0.692045,pca,104,54,38,3.79278e-07,0.00217036,85.9142
11,0.684659,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.679545,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
12,0.627273,pca,85,10,44,0.000395688,3.82855e-06,86.3502
1,0.623864,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.623864,none,83,68,61,3.51536e-07,0.0140192,96.6645
