threshold,tp,fp,tn,fn,tpr,fpr,precision,recall,f1
0.35446125043193705,16,110,0,0,1.0,1.0,0.12698412698412698,1.0,0.22535211267605634
0.3742864229014597,16,109,1,0,1.0,0.990909090909091,0.128,1.0,0.22695035460992907
0.46636410227587205,16,108,2,0,1.0,0.9818181818181818,0.12903225806451613,1.0,0.22857142857142856
0.4953173249214577,16,107,3,0,1.0,0.9727272727272728,0.13008130081300814,1.0,0.2302158273381295
0.5164148534699938,15,107,3,1,0.9375,0.9727272727272728,0.12295081967213115,0.9375,0.21739130434782608
0.5172251650248219,14,107,3,2,0.875,0.9727272727272728,0.11570247933884298,0.875,0.20437956204379562
0.528715187472495,14,106,4,2,0.875,0.9636363636363636,0.11666666666666667,0.875,0.20588235294117646
0.5490685416247691,13,106,4,3,0.8125,0.9636363636363636,0.1092436974789916,0.8125,0.1925925925925926
0.5860882336925642,13,105,5,3,0.8125,0.9545454545454546,0.11016949152542373,0.8125,0.19402985074626866
0.5878691742980234,13,104,6,3,0.8125,0.9454545454545454,0.1111111111111111,0.8125,0.19548872180451127
0.5914658115979816,12,104,6,4,0.75,0.9454545454545454,0.10344827586206896,0.75,0.18181818181818182
0.6131946702978558,12,103,7,4,0.75,0.9363636363636364,0.10434782608695652,0.75,0.183206106870229
0.6143032846367849,12,102,8,4,0.75,0.9272727272727272,0.10526315789473684,0.75,0.18461538461538463
0.643310715764565,12,101,9,4,0.75,0.9181818181818182,0.10619469026548672,0.75,0.18604651162790697
0.6434452874135053,12,100,10,4,0.75,0.9090909090909091,0.10714285714285714,0.75,0.1875
0.6935776058469362,12,99,11,4,0.75,0.9,0.10810810810810811,0.75,0.1889763779527559
0.7020503179813216,12,98,12,4,0.75,0.8909090909090909,0.10909090909090909,0.75,0.19047619047619047
0.7106392984870749,12,97,13,4,0.75,0.8818181818181818,0.11009174311926606,0.75,0.192
0.7176926130905664,12,96,14,4,0.75,0.8727272727272727,0.1111111111111111,0.75,0.1935483870967742
0.7192433639269529,12,95,15,4,0.75,0.8636363636363636,0.11214953271028037,0.75,0.1951219512195122
0.7577779694366918,12,94,16,4,0.75,0.8545454545454545,0.11320754716981132,0.75,0.19672131147540983
0.7806763695149949,12,93,17,4,0.75,0.8454545454545455,0.11428571428571428,0.75,0.19834710743801653
0.7827985299508502,12,92,18,4,0.75,0.8363636363636363,0.11538461538461539,0.75,0.2
0.7925212968289266,12,91,19,4,0.75,0.8272727272727273,0.11650485436893204,0.75,0.20168067226890757
0.8005687470597358,12,90,20,4,0.75,0.8181818181818182,0.11764705882352941,0.75,0.2033898305084746
0.8113724221048815,12,89,21,4,0.75,0.8090909090909091,0.1188118811881188,0.75,0.20512820512820512
0.8148672556731363,12,88,22,4,0.75,0.8,0.12,0.75,0.20689655172413793
0.8170664889192133,12,87,23,4,0.75,0.7909090909090909,0.12121212121212122,0.75,0.20869565217391303
0.8441346790725441,12,86,24,4,0.75,0.7818181818181819,0.12244897959183673,0.75,0.21052631578947367
0.8521627587318822,12,85,25,4,0.75,0.7727272727272727,0.12371134020618557,0.75,0.21238938053097345
0.8530539284134879,12,84,26,4,0.75,0.7636363636363637,0.125,0.75,0.21428571428571427
0.8574031303528256,12,83,27,4,0.75,0.7545454545454545,0.12631578947368421,0.75,0.21621621621621623
0.8658585567312256,12,82,28,4,0.75,0.7454545454545455,0.1276595744680851,0.75,0.21818181818181817
0.8677542238031993,12,81,29,4,0.75,0.7363636363636363,0.12903225806451613,0.75,0.22018348623853212
0.8723357757392203,12,80,30,4,0.75,0.7272727272727273,0.13043478260869565,0.75,0.2222222222222222
0.884188839192885,12,79,31,4,0.75,0.7181818181818181,0.13186813186813187,0.75,0.22429906542056074
0.8853252742364646,12,78,32,4,0.75,0.7090909090909091,0.13333333333333333,0.75,0.22641509433962265
0.8884607412865735,12,77,33,4,0.75,0.7,0.1348314606741573,0.75,0.22857142857142856
0.8905349075912211,12,76,34,4,0.75,0.6909090909090909,0.13636363636363635,0.75,0.23076923076923078
0.8914646704795143,12,75,35,4,0.75,0.6818181818181818,0.13793103448275862,0.75,0.23300970873786409
0.8917894612372342,12,74,36,4,0.75,0.6727272727272727,0.13953488372093023,0.75,0.23529411764705882
0.8968640815374319,12,73,37,4,0.75,0.6636363636363637,0.1411764705882353,0.75,0.2376237623762376
0.9202970261549391,12,72,38,4,0.75,0.6545454545454545,0.14285714285714285,0.75,0.24
0.9299852157344426,12,71,39,4,0.75,0.6454545454545455,0.14457831325301204,0.75,0.24242424242424243
0.9315236235343848,12,70,40,4,0.75,0.6363636363636364,0.14634146341463414,0.75,0.24489795918367346
0.9341079440960475,12,69,41,4,0.75,0.6272727272727273,0.14814814814814814,0.75,0.24742268041237114
0.94092534750361,12,68,42,4,0.75,0.6181818181818182,0.15,0.75,0.25
0.9437269757359441,12,67,43,4,0.75,0.6090909090909091,0.1518987341772152,0.75,0.25263157894736843
0.9515332782192697,12,66,44,4,0.75,0.6,0.15384615384615385,0.75,0.2553191489361702
0.9717229500015047,12,65,45,4,0.75,0.5909090909090909,0.15584415584415584,0.75,0.25806451612903225
0.9752652426291818,12,64,46,4,0.75,0.5818181818181818,0.15789473684210525,0.75,0.2608695652173913
0.9875820275104992,12,63,47,4,0.75,0.5727272727272728,0.16,0.75,0.26373626373626374
0.9916937431916774,12,62,48,4,0.75,0.5636363636363636,0.16216216216216217,0.75,0.26666666666666666
1.0082003267581676,12,61,49,4,0.75,0.5545454545454546,0.1643835616438356,0.75,0.2696629213483146
1.016292041442657,12,60,50,4,0.75,0.5454545454545454,0.16666666666666666,0.75,0.2727272727272727
1.0173758328262876,12,59,51,4,0.75,0.5363636363636364,0.16901408450704225,0.75,0.27586206896551724
1.0192302075197641,12,58,52,4,0.75,0.5272727272727272,0.17142857142857143,0.75,0.27906976744186046
1.020603266452116,12,57,53,4,0.75,0.5181818181818182,0.17391304347826086,0.75,0.2823529411764706
1.0214489905051618,12,56,54,4,0.75,0.509090909090909,0.17647058823529413,0.75,0.2857142857142857
1.0307419537902789,12,55,55,4,0.75,0.5,0.1791044776119403,0.75,0.2891566265060241
1.0338693877438214,12,54,56,4,0.75,0.4909090909090909,0.18181818181818182,0.75,0.2926829268292683
1.0416163136646048,12,53,57,4,0.75,0.4818181818181818,0.18461538461538463,0.75,0.2962962962962963
1.054329544254666,12,52,58,4,0.75,0.4727272727272727,0.1875,0.75,0.3
1.0570338138378925,12,51,59,4,0.75,0.4636363636363636,0.19047619047619047,0.75,0.3037974683544304
1.0578866596725656,12,50,60,4,0.75,0.45454545454545453,0.1935483870967742,0.75,0.3076923076923077
1.0589210965607243,12,49,61,4,0.75,0.44545454545454544,0.19672131147540983,0.75,0.3116883116883117
1.0610442570554277,12,48,62,4,0.75,0.43636363636363634,0.2,0.75,0.3157894736842105
1.0744999899458194,12,47,63,4,0.75,0.42727272727272725,0.2033898305084746,0.75,0.32
1.076522189256607,12,46,64,4,0.75,0.41818181818181815,0.20689655172413793,0.75,0.32432432432432434
1.080875861335801,12,45,65,4,0.75,0.4090909090909091,0.21052631578947367,0.75,0.3287671232876712
1.0924326708269876,12,44,66,4,0.75,0.4,0.21428571428571427,0.75,0.3333333333333333
1.0932634604769556,11,44,66,5,0.6875,0.4,0.2,0.6875,0.30985915492957744
1.0955892875742856,11,43,67,5,0.6875,0.39090909090909093,0.2037037037037037,0.6875,0.3142857142857143
1.09629663019785,11,42,68,5,0.6875,0.38181818181818183,0.20754716981132076,0.6875,0.3188405797101449
1.1002434630648397,11,41,69,5,0.6875,0.37272727272727274,0.21153846153846154,0.6875,0.3235294117647059
1.1077704635818655,11,40,70,5,0.6875,0.36363636363636365,0.21568627450980393,0.6875,0.3283582089552239
1.1114980307127773,11,39,71,5,0.6875,0.35454545454545455,0.22,0.6875,0.3333333333333333
1.113720536128625,11,38,72,5,0.6875,0.34545454545454546,0.22448979591836735,0.6875,0.3384615384615385
1.1142477588694564,11,37,73,5,0.6875,0.33636363636363636,0.22916666666666666,0.6875,0.34375
1.1147656312741296,11,36,74,5,0.6875,0.32727272727272727,0.23404255319148937,0.6875,0.3492063492063492
1.1214590237891946,11,35,75,5,0.6875,0.3181818181818182,0.2391304347826087,0.6875,0.3548387096774194
1.1284368816469346,11,34,76,5,0.6875,0.3090909090909091,0.24444444444444444,0.6875,0.36065573770491804
1.1294173612988683,11,33,77,5,0.6875,0.3,0.25,0.6875,0.36666666666666664
1.1306161325916586,11,32,78,5,0.6875,0.2909090909090909,0.2558139534883721,0.6875,0.3728813559322034
1.136524961930719,11,31,79,5,0.6875,0.2818181818181818,0.2619047619047619,0.6875,0.3793103448275862
1.1385379967846645,11,30,80,5,0.6875,0.2727272727272727,0.2682926829268293,0.6875,0.38596491228070173
1.1427087501119182,11,29,81,5,0.6875,0.2636363636363636,0.275,0.6875,0.39285714285714285
1.148989083938971,11,28,82,5,0.6875,0.2545454545454545,0.28205128205128205,0.6875,0.4
1.176604626154349,11,27,83,5,0.6875,0.24545454545454545,0.2894736842105263,0.6875,0.4074074074074074
1.2024886999620037,11,26,84,5,0.6875,0.23636363636363636,0.2972972972972973,0.6875,0.41509433962264153
1.2265467141212791,11,25,85,5,0.6875,0.22727272727272727,0.3055555555555556,0.6875,0.4230769230769231
1.2438396558787033,11,24,86,5,0.6875,0.21818181818181817,0.3142857142857143,0.6875,0.43137254901960786
1.2740809839639948,11,23,87,5,0.6875,0.20909090909090908,0.3235294117647059,0.6875,0.44
1.3015585312726043,11,22,88,5,0.6875,0.2,0.3333333333333333,0.6875,0.4489795918367347
1.318685124754259,11,21,89,5,0.6875,0.19090909090909092,0.34375,0.6875,0.4583333333333333
1.3657984581914744,10,21,89,6,0.625,0.19090909090909092,0.3225806451612903,0.625,0.425531914893617
1.3965598630665228,10,20,90,6,0.625,0.18181818181818182,0.3333333333333333,0.625,0.43478260869565216
1.4736132867953466,9,20,90,7,0.5625,0.18181818181818182,0.3103448275862069,0.5625,0.4
1.4903623365534493,9,19,91,7,0.5625,0.17272727272727273,0.32142857142857145,0.5625,0.4090909090909091
1.5562512936415263,9,18,92,7,0.5625,0.16363636363636364,0.3333333333333333,0.5625,0.4186046511627907
1.6322072504838565,9,17,93,7,0.5625,0.15454545454545454,0.34615384615384615,0.5625,0.42857142857142855
1.645833202800665,8,17,93,8,0.5,0.15454545454545454,0.32,0.5,0.3902439024390244
1.7343823969815915,8,16,94,8,0.5,0.14545454545454545,0.3333333333333333,0.5,0.4
1.811550306628134,8,15,95,8,0.5,0.13636363636363635,0.34782608695652173,0.5,0.41025641025641024
1.8183540251146866,8,14,96,8,0.5,0.12727272727272726,0.36363636363636365,0.5,0.42105263157894735
