trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
1,0.838961,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
3,0.732468,none,8,14,12,0.000348887,0.0120364,90.0857
11,0.731169,none,106,38,21,4.99942e-06,3.82988e-05,80.8144
5,0.649351,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
14,0.644156,pca,23,72,10,0.000528726,6.88993e-06,92.3599
4,0.620779,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
9,0.537662,none,63,60,8,0.00062599,0.000173749,87.0188
15,0.535065,none,62,68,38,2.54752e-07,2.96303e-05,97.014
7,0.518182,pca,73,85,42,1.91301e-06,0.000218742,88.6021
2,0.515584,pca,53,87,10,0.000879136,0.000203079,98.8762
