trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.901892,none,14,20,12,0.000405595,0.0224644,92.3889
15,0.90151,none,14,13,8,9.62653e-07,3.54761e-06,97.5989
3,0.89783,none,8,14,12,0.000348887,0.0120364,90.0857
11,0.876493,none,47,77,10,3.07742e-08,2.46995e-06,84.0087
8,0.875434,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
12,0.875434,none,48,82,4,0.000453715,3.32127e-06,89.1471
13,0.873021,none,50,78,5,4.98306e-06,0.00023464,80.8526
2,0.86974,pca,53,87,10,0.000879136,0.000203079,98.8762
4,0.867535,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
5,0.866441,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
