trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
13,0.997413,pca,14,106,55,0.000469052,0.0882737,84.7196
7,0.997257,pca,73,85,42,1.91301e-06,0.000218742,88.6021
1,0.997222,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.997222,none,83,68,61,3.51536e-07,0.0140192,96.6645
9,0.997188,none,63,60,8,0.00062599,0.000173749,87.0188
2,0.997187,pca,53,87,10,0.000879136,0.000203079,98.8762
11,0.99717,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
8,0.997153,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
12,0.997101,pca,85,10,44,0.000395688,3.82855e-06,86.3502
14,0.996997,pca,117,10,4,0.000329668,0.000522636,96.5386
