trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.841111,pca,5,32,43,6.24621e-08,0.00269875,95.981
3,0.829375,none,8,14,12,0.000348887,0.0120364,90.0857
15,0.812708,none,13,35,45,2.62767e-07,0.00106043,91.8287
4,0.766181,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
11,0.764236,pca,108,52,43,5.46683e-05,0.000306611,81.4808
13,0.764236,pca,108,49,43,2.00831e-06,3.03722e-06,84.51
12,0.762483,none,105,48,39,4.79619e-07,0.000583485,92.7062
10,0.761858,pca,104,54,38,3.79278e-07,0.00217036,85.9142
5,0.759635,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
8,0.753924,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
