trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
2,1,pca,53,87,10,0.000879136,0.000203079,98.8762
3,1,none,8,14,12,0.000348887,0.0120364,90.0857
8,1,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
13,1,pca,53,93,11,3.64254e-07,0.000830055,96.137
14,1,pca,19,78,46,8.55209e-08,1.75643e-06,96.7529
15,1,none,33,114,49,0.000750462,0.0182856,93.9509
9,0.995833,none,63,60,8,0.00062599,0.000173749,87.0188
11,0.995833,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
12,0.995833,none,69,84,48,1.25774e-06,2.20157e-06,91.3018
7,0.991667,pca,73,85,42,1.91301e-06,0.000218742,88.6021
