trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
11,0.920833,none,106,38,21,4.99942e-06,3.82988e-05,80.8144
5,0.916667,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
9,0.8625,none,63,60,8,0.00062599,0.000173749,87.0188
15,0.8625,none,74,84,41,2.85278e-07,3.90674e-05,91.033
4,0.858333,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
2,0.841667,pca,53,87,10,0.000879136,0.000203079,98.8762
7,0.8375,pca,73,85,42,1.91301e-06,0.000218742,88.6021
3,0.729167,none,8,14,12,0.000348887,0.0120364,90.0857
8,0.666667,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
10,0.645833,pca,104,54,38,3.79278e-07,0.00217036,85.9142
