trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.998733,pca,7,118,63,2.36979e-05,2.14499e-06,84.9329
13,0.998733,none,7,50,61,1.15284e-08,0.000361128,94.8451
3,0.998663,none,8,14,12,0.000348887,0.0120364,90.0857
15,0.995365,pca,108,59,35,0.000167148,0.000602247,92.519
4,0.995347,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
10,0.995278,pca,104,54,38,3.79278e-07,0.00217036,85.9142
11,0.995278,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.995208,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
12,0.994826,pca,85,10,44,0.000395688,3.82855e-06,86.3502
1,0.994653,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
