config_relpath,status,duration_s,study_dir,best_metric_value,best_params_json,error
base_torus_one_hole_e_0.1.yaml,success,886.7689950466156,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/base_torus_one_hole_e_0.1,0.975,"{""detector.topo_cov_shrinkage"": 0.0021703551752021138, ""detector.topo_percentile"": 85.91421600854376, ""graph.k"": 104, ""graph.topo_k"": 54, ""graph.topo_min_persistence"": 3.792775663852008e-07, ""graph.topo_pca_dim"": 38, ""graph.topo_preprocess"": ""pca""}",
base_torus_one_hole_e_0.2.yaml,success,1035.4493980407715,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/base_torus_one_hole_e_0.2,0.5372222222222222,"{""detector.topo_cov_shrinkage"": 0.0021703551752021138, ""detector.topo_percentile"": 85.91421600854376, ""graph.k"": 104, ""graph.topo_k"": 54, ""graph.topo_min_persistence"": 3.792775663852008e-07, ""graph.topo_pca_dim"": 38, ""graph.topo_preprocess"": ""pca""}",
base_torus_one_hole_e_0.3 copy.yaml,success,719.6664028167725,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/base_torus_one_hole_e_0.3_copy,0.975,"{""detector.topo_cov_shrinkage"": 0.0021703551752021138, ""detector.topo_percentile"": 85.91421600854376, ""graph.k"": 104, ""graph.topo_k"": 54, ""graph.topo_min_persistence"": 3.792775663852008e-07, ""graph.topo_pca_dim"": 38, ""graph.topo_preprocess"": ""pca""}",
baseline/base_torus_one_hole_e_0.1.yaml,success,548.0843572616577,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/baseline/base_torus_one_hole_e_0.1,1.0,"{""detector.topo_cov_shrinkage"": 1.1221307865564859e-05, ""detector.topo_percentile"": 84.88826252461257, ""graph.k"": 83, ""graph.topo_k"": 8, ""graph.topo_min_persistence"": 1.8542947532167176e-05, ""graph.topo_pca_dim"": 41, ""graph.topo_preprocess"": ""pca""}",
baseline/base_torus_one_hole_e_0.2.yaml,success,844.2735168933868,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/baseline/base_torus_one_hole_e_0.2,0.6228125,"{""detector.topo_cov_shrinkage"": 0.01203642655937434, ""detector.topo_percentile"": 90.08565609478795, ""graph.k"": 8, ""graph.topo_k"": 14, ""graph.topo_min_persistence"": 0.0003488865093860712, ""graph.topo_pca_dim"": 12, ""graph.topo_preprocess"": ""none""}",
baseline/base_torus_one_hole_e_0.3 copy.yaml,success,682.9914970397949,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/baseline/base_torus_one_hole_e_0.3_copy,1.0,"{""detector.topo_cov_shrinkage"": 1.1221307865564859e-05, ""detector.topo_percentile"": 84.88826252461257, ""graph.k"": 83, ""graph.topo_k"": 8, ""graph.topo_min_persistence"": 1.8542947532167176e-05, ""graph.topo_pca_dim"": 41, ""graph.topo_preprocess"": ""pca""}",
OOD/ood_baseline_noise.yaml,success,1535.4786779880524,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/OOD/ood_baseline_noise,0.8561111111111112,"{""detector.topo_cov_shrinkage"": 0.01203642655937434, ""detector.topo_percentile"": 90.08565609478795, ""graph.k"": 8, ""graph.topo_k"": 14, ""graph.topo_min_persistence"": 0.0003488865093860712, ""graph.topo_pca_dim"": 12, ""graph.topo_preprocess"": ""none""}",
OOD/ood_baseline_shift.yaml,failed,2.9087066650390625e-05,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/OOD/ood_baseline_shift,,,FileNotFoundError: [Errno 2] No such file or directory: '/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/config/final/torus_two_holes/OOD/ood_baseline_shift.yaml'
OOD/ood_baseline_shuffle.yaml,failed,1.811981201171875e-05,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/OOD/ood_baseline_shuffle,,,FileNotFoundError: [Errno 2] No such file or directory: '/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/config/final/torus_two_holes/OOD/ood_baseline_shuffle.yaml'
topology_only/base_torus_one_hole_e_0.1.yaml,success,206.51088190078735,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_two_holes/topology_only/base_torus_one_hole_e_0.1,0.975,"{""detector.topo_cov_shrinkage"": 0.0021703551752021138, ""detector.topo_percentile"": 85.91421600854376, ""graph.k"": 104, ""graph.topo_k"": 54, ""graph.topo_min_persistence"": 3.792775663852008e-07, ""graph.topo_pca_dim"": 38, ""graph.topo_preprocess"": ""pca""}",
