trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
2,0.547708,pca,53,87,10,0.000879136,0.000203079,98.8762
13,0.542535,pca,53,93,11,3.64254e-07,0.000830055,96.137
4,0.540937,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
15,0.540017,pca,102,88,20,4.04756e-05,0.000261048,86.2707
8,0.536233,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
6,0.536215,none,83,68,61,3.51536e-07,0.0140192,96.6645
12,0.53434,pca,49,85,3,0.000449804,0.000667351,95.7056
7,0.530191,pca,73,85,42,1.91301e-06,0.000218742,88.6021
14,0.522205,pca,50,88,17,3.49064e-08,0.0804999,95.4009
3,0.521128,none,8,14,12,0.000348887,0.0120364,90.0857
