trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
2,1,pca,53,87,10,0.000879136,0.000203079,98.8762
3,1,none,8,14,12,0.000348887,0.0120364,90.0857
8,1,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
11,1,none,47,77,10,3.07742e-08,2.46995e-06,84.0087
12,1,pca,49,85,3,0.000449804,0.000667351,95.7056
13,1,none,50,78,5,4.98306e-06,0.00023464,80.8526
14,1,none,5,115,48,3.33146e-06,2.44471e-05,95.6201
15,1,none,6,70,64,3.50096e-08,0.000387671,90.1907
1,0.995833,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.995833,none,83,68,61,3.51536e-07,0.0140192,96.6645
