trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
13,0.95,pca,53,69,12,5.99921e-08,0.0480402,86.7801
6,0.8625,none,83,68,61,3.51536e-07,0.0140192,96.6645
8,0.829167,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
1,0.625,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
14,0.504167,none,80,62,63,2.91587e-08,1.81575e-06,93.7233
15,0.504167,pca,78,10,39,1.62524e-07,0.0894975,84.7376
9,0.495833,none,63,60,8,0.00062599,0.000173749,87.0188
10,0.491667,pca,104,54,38,3.79278e-07,0.00217036,85.9142
2,0.416667,pca,53,87,10,0.000879136,0.000203079,98.8762
12,0.391667,pca,79,113,64,1.55718e-08,0.0395926,86.2859
