trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.531073,none,107,56,31,1.39769e-07,0.000419749,92.1119
12,0.522753,pca,104,56,34,0.000186395,1.30251e-06,93.1013
2,0.515357,pca,53,87,10,0.000879136,0.000203079,98.8762
10,0.508269,pca,104,54,38,3.79278e-07,0.00217036,85.9142
6,0.508064,none,83,68,61,3.51536e-07,0.0140192,96.6645
15,0.504468,pca,108,59,35,0.000167148,0.000602247,92.519
13,0.500462,pca,53,93,11,3.64254e-07,0.000830055,96.137
5,0.491525,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
9,0.484951,none,63,60,8,0.00062599,0.000173749,87.0188
11,0.482178,pca,108,52,43,5.46683e-05,0.000306611,81.4808
