trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
9,0.652186,none,63,60,8,0.00062599,0.000173749,87.0188
8,0.6515,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
13,0.651143,pca,23,116,56,9.35457e-06,0.00142372,87.3599
14,0.651143,pca,23,72,10,0.000528726,6.88993e-06,92.3599
11,0.650487,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
15,0.650487,none,62,68,38,2.54752e-07,2.96303e-05,97.014
2,0.650249,pca,53,87,10,0.000879136,0.000203079,98.8762
7,0.649832,pca,73,85,42,1.91301e-06,0.000218742,88.6021
12,0.649176,pca,85,10,44,0.000395688,3.82855e-06,86.3502
1,0.647269,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
