trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
9,0.495396,none,108,41,12,9.22558e-08,6.43429e-06,96.4405
5,0.481511,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
1,0.4729,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
2,0.4729,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
11,0.470993,pca,6,12,57,0.000435403,0.000205107,86.8935
7,0.468997,none,106,84,33,0.000419398,0.000213508,88.0751
13,0.468401,pca,110,84,36,1.00324e-05,0.000281831,94.0721
8,0.467269,pca,79,92,64,3.67135e-07,3.09762e-05,96.5667
6,0.466464,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
3,0.464736,pca,53,87,10,0.000879136,0.000203079,98.8762
