trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
14,0.725518,pca,5,32,43,6.24621e-08,0.00269875,95.981
15,0.714434,none,6,70,64,3.50096e-08,0.000387671,90.1907
12,0.696332,pca,8,28,5,0.000215184,1.80093e-06,88.7769
3,0.691707,none,8,14,12,0.000348887,0.0120364,90.0857
13,0.691707,none,8,15,28,7.47516e-07,0.072121,94.843
11,0.676077,none,10,15,24,4.30519e-06,0.0939722,92.151
8,0.524721,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
4,0.517225,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
2,0.516826,pca,53,87,10,0.000879136,0.000203079,98.8762
10,0.511404,pca,104,54,38,3.79278e-07,0.00217036,85.9142
