trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
11,0.856944,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
8,0.805556,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
5,0.784028,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
15,0.765278,pca,108,59,35,0.000167148,0.000602247,92.519
9,0.761806,none,63,60,8,0.00062599,0.000173749,87.0188
13,0.719444,pca,42,66,6,3.29289e-06,0.019047,85.687
12,0.715278,pca,104,56,34,0.000186395,1.30251e-06,93.1013
6,0.70625,none,83,68,61,3.51536e-07,0.0140192,96.6645
14,0.688889,none,107,56,31,1.39769e-07,0.000419749,92.1119
10,0.670833,pca,104,54,38,3.79278e-07,0.00217036,85.9142
