trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
3,1,none,8,14,12,0.000348887,0.0120364,90.0857
14,1,pca,7,118,63,2.36979e-05,2.14499e-06,84.9329
8,0.995833,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
12,0.995139,pca,49,85,3,0.000449804,0.000667351,95.7056
2,0.994444,pca,53,87,10,0.000879136,0.000203079,98.8762
13,0.994444,pca,53,93,11,3.64254e-07,0.000830055,96.137
15,0.99375,none,57,58,15,1.74415e-07,1.61669e-06,97.285
11,0.993056,none,62,57,14,8.74112e-05,1.41341e-05,93.7657
9,0.992361,none,63,60,8,0.00062599,0.000173749,87.0188
7,0.990972,pca,73,85,42,1.91301e-06,0.000218742,88.6021
