trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
15,0.807274,pca,7,10,45,1.39702e-06,0.0128424,84.3366
3,0.802066,none,8,14,12,0.000348887,0.0120364,90.0857
4,0.767656,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
13,0.765208,pca,108,49,43,2.00831e-06,3.03722e-06,84.51
14,0.764687,none,107,56,31,1.39769e-07,0.000419749,92.1119
10,0.762778,pca,104,54,38,3.79278e-07,0.00217036,85.9142
12,0.762778,pca,104,56,34,0.000186395,1.30251e-06,93.1013
11,0.762118,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.761979,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
6,0.744601,none,83,68,61,3.51536e-07,0.0140192,96.6645
