H,condition,distance,layer,metric,sample_id
0,adv_pgd_l2_eps=0.2,2.6275144647806883,input,wasserstein,0
1,adv_pgd_l2_eps=0.2,3.0500633476808408,input,wasserstein,0
0,adv_pgd_l2_eps=0.2,18.968861211202515,conv1,wasserstein,0
1,adv_pgd_l2_eps=0.2,8.420596716540775,conv1,wasserstein,0
0,adv_pgd_l2_eps=0.2,15.443895243108273,conv2,wasserstein,0
1,adv_pgd_l2_eps=0.2,10.84141315242493,conv2,wasserstein,0
0,adv_pgd_l2_eps=0.2,24.30303911298485,conv3,wasserstein,0
1,adv_pgd_l2_eps=0.2,11.583048318182772,conv3,wasserstein,0
0,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,0
1,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,0
0,adv_pgd_l2_eps=0.4,1.6702261567115784,input,wasserstein,0
1,adv_pgd_l2_eps=0.4,2.5970537292635107,input,wasserstein,0
0,adv_pgd_l2_eps=0.4,10.963795639574528,conv1,wasserstein,0
1,adv_pgd_l2_eps=0.4,9.512374005232616,conv1,wasserstein,0
0,adv_pgd_l2_eps=0.4,12.88739451020956,conv2,wasserstein,0
1,adv_pgd_l2_eps=0.4,9.906146846355629,conv2,wasserstein,0
0,adv_pgd_l2_eps=0.4,44.677117109298706,conv3,wasserstein,0
1,adv_pgd_l2_eps=0.4,12.283992056487643,conv3,wasserstein,0
0,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,0
1,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,0
0,adv_fgsm_l2_eps=0.2,2.1110455356538296,input,wasserstein,0
1,adv_fgsm_l2_eps=0.2,3.3307223232282848,input,wasserstein,0
0,adv_fgsm_l2_eps=0.2,9.477406134482987,conv1,wasserstein,0
1,adv_fgsm_l2_eps=0.2,9.342600628694242,conv1,wasserstein,0
0,adv_fgsm_l2_eps=0.2,24.473752588033676,conv2,wasserstein,0
1,adv_fgsm_l2_eps=0.2,11.704554007531813,conv2,wasserstein,0
0,adv_fgsm_l2_eps=0.2,36.32597363554643,conv3,wasserstein,0
