adv_pred_cw_l2,adv_pred_cw_linf,adv_pred_fgsm_l2,adv_pred_fgsm_linf,adv_pred_l2,adv_pred_linf,alpha_star,attack_results,chamfer_clean_adv,clean_margin,clean_pred,dropout_star,eps_star_cw_l2,eps_star_cw_linf,eps_star_fgsm_l2,eps_star_fgsm_linf,eps_star_l2,eps_star_linf,jitter_std_star,mean_permutation_topology_distance,permutation_accuracy,permutation_confidence_drop,permutation_margin_drop,rot_deg_star,sample_id,trans_x_star,trans_y_star,trans_z_star,true_label
,,,2,,2,,"{'fgsm': {'linf': {'eps_star': 0.603515625, 'adv_pred': 2, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,10.612025260925293,1,,,,,0.603515625,,0.666015625,,11.30194999216148,1.0,0.0,0.0,,0,,,,1
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,12.062374114990234,2,,,,,,,,,10.779230476639729,1.0,0.0,0.0,,1,,,,2
,,,2,,2,,"{'fgsm': {'linf': {'eps_star': 0.5634765625, 'adv_pred': 2, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,10.811246871948242,1,,,,,0.5634765625,,0.6513671875,,10.902595966609585,1.0,0.0,0.0,,2,,,,1
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,11.903234481811523,2,,,,,,,,,10.721219744557681,1.0,0.0,0.0,,3,,,,2
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,11.90982437133789,2,,,,,,,,,10.925444605736793,1.0,0.0,0.0,,4,,,,2
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.5927734375, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.957229614257812,0,,,,,0.5927734375,0.8759765625,0.384765625,,4.942501112189637,1.0,0.0,0.0,,5,,,,0
,,1,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.3994140625, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': 0.8583984375, 'adv_pred': 1, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.933671951293945,0,,,,0.8583984375,0.3994140625,0.76953125,0.3740234375,,7.120342859932336,1.0,0.0,0.0,,6,,,,0
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,11.75388240814209,2,,,,,,,,,10.691293989665153,1.0,0.0,0.0,,7,,,,2
,,1,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.3662109375, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': 0.77734375, 'adv_pred': 1, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.951675415039062,0,,,,0.77734375,0.3662109375,0.8759765625,0.3779296875,,6.257052648357658,1.0,0.0,0.0,,8,,,,0
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.578125, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.992960929870605,0,,,,,0.578125,0.794921875,0.3779296875,,7.022576732867052,1.0,0.0,0.0,,9,,,,0
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.4072265625, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.958041191101074,0,,,,,0.4072265625,0.7958984375,0.37109375,,5.766857009423722,1.0,0.0,0.0,,10,,,,0
,,,2,,2,,"{'fgsm': {'linf': {'eps_star': 0.572265625, 'adv_pred': 2, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,10.573691368103027,1,,,,,0.572265625,,0.6279296875,,10.972536674798308,1.0,0.0,0.0,,11,,,,1
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.59375, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.976329803466797,0,,,,,0.59375,0.7646484375,0.380859375,,5.635295820625373,1.0,0.0,0.0,,12,,,,0
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.560546875, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.947304725646973,0,,,,,0.560546875,0.794921875,0.376953125,,5.282768620305551,1.0,0.0,0.0,,13,,,,0
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,12.014169692993164,2,,,,,,,,,10.631669117233276,1.0,0.0,0.0,,14,,,,2
,,1,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.4658203125, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': 0.8583984375, 'adv_pred': 1, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.94818115234375,0,,,,0.8583984375,0.4658203125,0.8759765625,0.3896484375,,6.0520905392788125,1.0,0.0,0.0,,15,,,,0
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.3671875, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.971294403076172,0,,,,,0.3671875,0.779296875,0.3837890625,,5.761471064159699,1.0,0.0,0.0,,16,,,,0
,,,,,,,"{'fgsm': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,12.05224323272705,2,,,,,,,,,10.56650562588448,1.0,0.0,0.0,,17,,,,2
,,1,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.365234375, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': 0.7841796875, 'adv_pred': 1, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.954967498779297,0,,,,0.7841796875,0.365234375,0.8037109375,0.37890625,,6.75856410280477,1.0,0.0,0.0,,18,,,,0
,,,2,,2,,"{'fgsm': {'linf': {'eps_star': 0.5791015625, 'adv_pred': 2, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,10.65269947052002,1,,,,,0.5791015625,,0.6611328125,,10.86009248554492,1.0,0.0,0.0,,19,,,,1
,,,1,1,1,,"{'fgsm': {'linf': {'eps_star': 0.52734375, 'adv_pred': 1, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}, 'cw': {'linf': {'eps_star': None, 'adv_pred': None, 'metadata': {}}, 'l2': {'eps_star': None, 'adv_pred': None, 'metadata': {}}}}",,9.969796180725098,0,,,,,0.52734375,0.849609375,0.3876953125,,5.788476591707346,1.0,0.0,0.0,,20,,,,0
