condition,layer,homology,mean_wasserstein,std_wasserstein,n
adv_cw_l2_eps=0.2,fc1,H0,9.126494820600858,3.9337384055717086,80
adv_cw_l2_eps=0.2,fc1,H1,7.632996344176256,4.683326513775913,80
adv_cw_l2_eps=0.2,fc2,H0,15.895492314403569,7.817798649056136,80
adv_cw_l2_eps=0.2,fc2,H1,10.819727308184788,6.171314049383057,80
adv_cw_l2_eps=0.2,fc3,H0,21.606775361136254,8.72286517036617,80
adv_cw_l2_eps=0.2,fc3,H1,9.981039400145345,4.9758469211460685,80
adv_cw_l2_eps=0.2,input,H0,2.0508162130163585,1.1346174469302173,80
adv_cw_l2_eps=0.2,input,H1,2.0473270741905956,1.3561073984594034,80
adv_cw_l2_eps=0.2,pooled,H0,0.0,0.0,80
adv_cw_l2_eps=0.2,pooled,H1,0.0,0.0,80
adv_cw_l2_eps=0.4,fc1,H0,9.501658398617177,4.453044412040998,80
adv_cw_l2_eps=0.4,fc1,H1,7.42597475367463,4.429356514469096,80
adv_cw_l2_eps=0.4,fc2,H0,15.259147723401094,6.127890465675868,80
adv_cw_l2_eps=0.4,fc2,H1,10.539808958535177,6.100893719057201,80
adv_cw_l2_eps=0.4,fc3,H0,24.30922200339419,10.270928005468427,80
adv_cw_l2_eps=0.4,fc3,H1,10.293722968599699,4.961060769421393,80
adv_cw_l2_eps=0.4,input,H0,2.1788233970871955,1.1477531289488248,80
adv_cw_l2_eps=0.4,input,H1,2.105539992685727,1.375148103043371,80
adv_cw_l2_eps=0.4,pooled,H0,0.0,0.0,80
adv_cw_l2_eps=0.4,pooled,H1,0.0,0.0,80
adv_fgsm_l2_eps=0.2,fc1,H0,9.90299466102577,4.351975928848422,80
adv_fgsm_l2_eps=0.2,fc1,H1,7.471884748107283,4.453984395598977,80
adv_fgsm_l2_eps=0.2,fc2,H0,15.311413447984165,4.76122749409391,80
adv_fgsm_l2_eps=0.2,fc2,H1,10.426785007137438,5.898166380774388,80
adv_fgsm_l2_eps=0.2,fc3,H0,28.56129150755554,16.346761168692964,80
adv_fgsm_l2_eps=0.2,fc3,H1,10.12944780439597,5.03012337436888,80
adv_fgsm_l2_eps=0.2,input,H0,5.269901581262004,4.301340060415929,80
adv_fgsm_l2_eps=0.2,input,H1,2.113662796106124,1.3864422441926711,80
adv_fgsm_l2_eps=0.2,pooled,H0,0.0,0.0,80
adv_fgsm_l2_eps=0.2,pooled,H1,0.0,0.0,80
