H,condition,distance,layer,metric,sample_id
0,adv_pgd_l2_eps=0.2,2.6306871119886637,input,wasserstein,0
1,adv_pgd_l2_eps=0.2,3.047878046908897,input,wasserstein,0
0,adv_pgd_l2_eps=0.2,18.958205278451018,fc1,wasserstein,0
1,adv_pgd_l2_eps=0.2,8.419189209521463,fc1,wasserstein,0
0,adv_pgd_l2_eps=0.2,15.553109116852283,fc2,wasserstein,0
1,adv_pgd_l2_eps=0.2,10.907128963712639,fc2,wasserstein,0
0,adv_pgd_l2_eps=0.2,24.29122687029503,fc3,wasserstein,0
1,adv_pgd_l2_eps=0.2,11.211324983971338,fc3,wasserstein,0
0,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,0
1,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,0
0,adv_pgd_l2_eps=0.4,1.671829205006361,input,wasserstein,0
1,adv_pgd_l2_eps=0.4,2.595009576072923,input,wasserstein,0
0,adv_pgd_l2_eps=0.4,10.99777601659298,fc1,wasserstein,0
1,adv_pgd_l2_eps=0.4,9.51904156069088,fc1,wasserstein,0
0,adv_pgd_l2_eps=0.4,12.784884620973255,fc2,wasserstein,0
1,adv_pgd_l2_eps=0.4,9.966584540378246,fc2,wasserstein,0
0,adv_pgd_l2_eps=0.4,44.361401200294495,fc3,wasserstein,0
1,adv_pgd_l2_eps=0.4,12.004970117128297,fc3,wasserstein,0
0,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,0
1,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,0
0,adv_fgsm_l2_eps=0.2,2.1111773289740086,input,wasserstein,0
1,adv_fgsm_l2_eps=0.2,3.330695103760566,input,wasserstein,0
0,adv_fgsm_l2_eps=0.2,9.47273815867546,fc1,wasserstein,0
1,adv_fgsm_l2_eps=0.2,9.346838471984709,fc1,wasserstein,0
0,adv_fgsm_l2_eps=0.2,24.491561710834503,fc2,wasserstein,0
1,adv_fgsm_l2_eps=0.2,11.712002109667026,fc2,wasserstein,0
0,adv_fgsm_l2_eps=0.2,35.99845062315414,fc3,wasserstein,0
1,adv_fgsm_l2_eps=0.2,9.484040259159972,fc3,wasserstein,0
0,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,0
1,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,0
0,adv_fgsm_l2_eps=0.4,4.479900864884257,input,wasserstein,0
1,adv_fgsm_l2_eps=0.4,2.773909140382047,input,wasserstein,0
0,adv_fgsm_l2_eps=0.4,14.457250095903873,fc1,wasserstein,0
1,adv_fgsm_l2_eps=0.4,10.227475682119707,fc1,wasserstein,0
0,adv_fgsm_l2_eps=0.4,25.524380029672464,fc2,wasserstein,0
1,adv_fgsm_l2_eps=0.4,11.81967334274277,fc2,wasserstein,0
0,adv_fgsm_l2_eps=0.4,32.52307399055868,fc3,wasserstein,0
1,adv_fgsm_l2_eps=0.4,11.173678069186007,fc3,wasserstein,0
0,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,0
1,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,0
0,adv_cw_l2_eps=0.2,2.485728545114398,input,wasserstein,0
1,adv_cw_l2_eps=0.2,2.5746187416862827,input,wasserstein,0
0,adv_cw_l2_eps=0.2,9.429109588265419,fc1,wasserstein,0
1,adv_cw_l2_eps=0.2,8.369134802054116,fc1,wasserstein,0
0,adv_cw_l2_eps=0.2,14.078938409686089,fc2,wasserstein,0
1,adv_cw_l2_eps=0.2,10.923481599216204,fc2,wasserstein,0
0,adv_cw_l2_eps=0.2,22.783683873713017,fc3,wasserstein,0
1,adv_cw_l2_eps=0.2,8.827846278764227,fc3,wasserstein,0
0,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,0
1,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,0
0,adv_cw_l2_eps=0.4,2.2027075607329607,input,wasserstein,0
1,adv_cw_l2_eps=0.4,2.242606504556057,input,wasserstein,0
0,adv_cw_l2_eps=0.4,13.283009827136993,fc1,wasserstein,0
1,adv_cw_l2_eps=0.4,8.104140481107526,fc1,wasserstein,0
0,adv_cw_l2_eps=0.4,16.057319301060176,fc2,wasserstein,0
1,adv_cw_l2_eps=0.4,10.918159732148647,fc2,wasserstein,0
0,adv_cw_l2_eps=0.4,41.837107736289596,fc3,wasserstein,0
1,adv_cw_l2_eps=0.4,10.08360324102144,fc3,wasserstein,0
0,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,0
1,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,0
0,noise_floor,2.9118287841546193,input,wasserstein,0
1,noise_floor,2.243584198880193,input,wasserstein,0
0,noise_floor,22.288555882310696,fc1,wasserstein,0
1,noise_floor,11.833795219999223,fc1,wasserstein,0
0,noise_floor,20.602555215358734,fc2,wasserstein,0
1,noise_floor,9.999260918067115,fc2,wasserstein,0
0,noise_floor,32.9174749404192,fc3,wasserstein,0
1,noise_floor,9.628615574823865,fc3,wasserstein,0
0,noise_floor,0.0,pooled,wasserstein,0
1,noise_floor,0.0,pooled,wasserstein,0
0,permutation_seed=0,11.168013006448746,fc1,wasserstein,0
1,permutation_seed=0,9.825995536814132,fc1,wasserstein,0
0,permutation_seed=0,10.689311690628529,fc2,wasserstein,0
1,permutation_seed=0,9.401176937622104,fc2,wasserstein,0
0,permutation_seed=0,23.474226236343384,fc3,wasserstein,0
1,permutation_seed=0,11.651967651989386,fc3,wasserstein,0
0,permutation_seed=0,0.0,pooled,wasserstein,0
1,permutation_seed=0,0.0,pooled,wasserstein,0
0,permutation_seed=1,12.312452202481884,fc1,wasserstein,0
1,permutation_seed=1,12.029324204717556,fc1,wasserstein,0
0,permutation_seed=1,21.442816138267517,fc2,wasserstein,0
1,permutation_seed=1,10.8591414399759,fc2,wasserstein,0
0,permutation_seed=1,38.920573910842805,fc3,wasserstein,0
1,permutation_seed=1,10.180182723360755,fc3,wasserstein,0
0,permutation_seed=1,0.0,pooled,wasserstein,0
1,permutation_seed=1,0.0,pooled,wasserstein,0
0,permutation_seed=2,7.733792468905449,fc1,wasserstein,0
1,permutation_seed=2,8.662953311154917,fc1,wasserstein,0
0,permutation_seed=2,18.929191447794437,fc2,wasserstein,0
