H,condition,distance,layer,metric,sample_id
0,adv_linf_eps=0.2,7.501349998300928,input,wasserstein,0
1,adv_linf_eps=0.2,3.710667529326425,input,wasserstein,0
0,adv_linf_eps=0.2,44.96286188558287,fc1,wasserstein,0
1,adv_linf_eps=0.2,10.142582386422166,fc1,wasserstein,0
0,adv_linf_eps=0.2,54.58034828443609,fc2,wasserstein,0
1,adv_linf_eps=0.2,14.648545357628992,fc2,wasserstein,0
0,adv_linf_eps=0.2,58.92311976063182,fc3,wasserstein,0
1,adv_linf_eps=0.2,9.703512373508525,fc3,wasserstein,0
0,adv_linf_eps=0.2,0.0,pooled,wasserstein,0
1,adv_linf_eps=0.2,0.0,pooled,wasserstein,0
0,adv_linf_eps=0.4,17.510058101146807,input,wasserstein,0
1,adv_linf_eps=0.4,3.1146142107100965,input,wasserstein,0
0,adv_linf_eps=0.4,64.66558884378254,fc1,wasserstein,0
1,adv_linf_eps=0.4,14.656094907705075,fc1,wasserstein,0
0,adv_linf_eps=0.4,97.01392251603261,fc2,wasserstein,0
1,adv_linf_eps=0.4,15.547182699728374,fc2,wasserstein,0
0,adv_linf_eps=0.4,66.22353396614815,fc3,wasserstein,0
1,adv_linf_eps=0.4,17.15744478071469,fc3,wasserstein,0
0,adv_linf_eps=0.4,0.0,pooled,wasserstein,0
1,adv_linf_eps=0.4,0.0,pooled,wasserstein,0
0,noise_floor,1.9741882793605328,input,wasserstein,0
1,noise_floor,3.048990570100885,input,wasserstein,0
0,noise_floor,19.897096801549196,fc1,wasserstein,0
1,noise_floor,9.177816912761795,fc1,wasserstein,0
0,noise_floor,20.471685647964478,fc2,wasserstein,0
1,noise_floor,13.250335144792484,fc2,wasserstein,0
0,noise_floor,21.51944226771593,fc3,wasserstein,0
1,noise_floor,10.170053218143694,fc3,wasserstein,0
0,noise_floor,0.0,pooled,wasserstein,0
1,noise_floor,0.0,pooled,wasserstein,0
0,adv_l2_eps=0.2,2.2880736301198046,input,wasserstein,0
1,adv_l2_eps=0.2,2.81725489454538,input,wasserstein,0
0,adv_l2_eps=0.2,16.039496138691902,fc1,wasserstein,0
1,adv_l2_eps=0.2,8.786542892730392,fc1,wasserstein,0
0,adv_l2_eps=0.2,27.0930523842339,fc2,wasserstein,0
1,adv_l2_eps=0.2,12.123598615927389,fc2,wasserstein,0
