betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H0,adv_linf_eps=0.2,199.0,input,0.3415163457393646,0.16876351347558163,0,33.583939181640744
H1,adv_linf_eps=0.2,74.0,input,0.2942257225513458,0.06256421353365924,0,4.629751801490784
H0,adv_linf_eps=0.2,199.0,fc1,0.48771074414253235,0.22307840453919453,0,44.39260250329971
H1,adv_linf_eps=0.2,61.0,fc1,0.42752566933631897,0.09950035871540913,0,6.069521881639957
H0,adv_linf_eps=0.2,199.0,fc2,0.7334853410720825,0.27953552246917435,0,55.62756897136569
H1,adv_linf_eps=0.2,66.0,fc2,0.5519488453865051,0.10456160704294841,0,6.901066064834595
H0,adv_linf_eps=0.2,199.0,fc3,1.349160075187683,0.3561553402274997,0,70.87491270527244
H1,adv_linf_eps=0.2,47.0,fc3,0.5101890563964844,0.1156504176398541,0,5.435569629073143
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,0,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,0,0.0
H0,adv_linf_eps=0.4,199.0,input,0.3415163457393646,0.16876351347558163,0,33.583939181640744
H1,adv_linf_eps=0.4,74.0,input,0.2942257225513458,0.06256421353365924,0,4.629751801490784
H0,adv_linf_eps=0.4,199.0,fc1,0.48771074414253235,0.22307840453919453,0,44.39260250329971
H1,adv_linf_eps=0.4,61.0,fc1,0.42752566933631897,0.09950035871540913,0,6.069521881639957
H0,adv_linf_eps=0.4,199.0,fc2,0.7334853410720825,0.27953552246917435,0,55.62756897136569
H1,adv_linf_eps=0.4,66.0,fc2,0.5519488453865051,0.10456160704294841,0,6.901066064834595
H0,adv_linf_eps=0.4,199.0,fc3,1.349160075187683,0.3561553402274997,0,70.87491270527244
H1,adv_linf_eps=0.4,47.0,fc3,0.5101890563964844,0.1156504176398541,0,5.435569629073143
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,0,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,0,0.0
H0,adv_l2_eps=0.2,199.0,input,0.3415163457393646,0.16876351347558163,0,33.583939181640744
H1,adv_l2_eps=0.2,74.0,input,0.2942257225513458,0.06256421353365924,0,4.629751801490784
H0,adv_l2_eps=0.2,199.0,fc1,0.48771074414253235,0.22307840453919453,0,44.39260250329971
H1,adv_l2_eps=0.2,61.0,fc1,0.42752566933631897,0.09950035871540913,0,6.069521881639957
H0,adv_l2_eps=0.2,199.0,fc2,0.7334853410720825,0.27953552246917435,0,55.62756897136569
H1,adv_l2_eps=0.2,66.0,fc2,0.5519488453865051,0.10456160704294841,0,6.901066064834595
H0,adv_l2_eps=0.2,199.0,fc3,1.349160075187683,0.3561553402274997,0,70.87491270527244
H1,adv_l2_eps=0.2,47.0,fc3,0.5101890563964844,0.1156504176398541,0,5.435569629073143
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,0,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,0,0.0
H0,adv_l2_eps=0.4,199.0,input,0.3415163457393646,0.16876351347558163,0,33.583939181640744
H1,adv_l2_eps=0.4,74.0,input,0.2942257225513458,0.06256421353365924,0,4.629751801490784
H0,adv_l2_eps=0.4,199.0,fc1,0.48771074414253235,0.22307840453919453,0,44.39260250329971
H1,adv_l2_eps=0.4,61.0,fc1,0.42752566933631897,0.09950035871540913,0,6.069521881639957
H0,adv_l2_eps=0.4,199.0,fc2,0.7334853410720825,0.27953552246917435,0,55.62756897136569
H1,adv_l2_eps=0.4,66.0,fc2,0.5519488453865051,0.10456160704294841,0,6.901066064834595
H0,adv_l2_eps=0.4,199.0,fc3,1.349160075187683,0.3561553402274997,0,70.87491270527244
H1,adv_l2_eps=0.4,47.0,fc3,0.5101890563964844,0.1156504176398541,0,5.435569629073143
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,0,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,0,0.0
H0,adv_linf_eps=0.2,199.0,input,0.3653205633163452,0.1693056721202842,1,33.691828751936555
H1,adv_linf_eps=0.2,63.0,input,0.3898017108440399,0.07657814345189504,1,4.824423037469387
H0,adv_linf_eps=0.2,199.0,fc1,0.5768568515777588,0.22376737344879002,1,44.529707316309214
H1,adv_linf_eps=0.2,60.0,fc1,0.4852179288864136,0.10032011605799199,1,6.019206963479519
H0,adv_linf_eps=0.2,199.0,fc2,0.6734275817871094,0.282821364607194,1,56.2814515568316
H1,adv_linf_eps=0.2,57.0,fc2,0.5060259103775024,0.10784810127919181,1,6.147341772913933
H0,adv_linf_eps=0.2,199.0,fc3,1.2339078187942505,0.36443617610476126,1,72.52279904484749
H1,adv_linf_eps=0.2,48.0,fc3,0.6511677503585815,0.12110747350379825,1,5.813158728182316
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H0,adv_linf_eps=0.4,199.0,input,0.3653205633163452,0.1693056721202842,1,33.691828751936555
H1,adv_linf_eps=0.4,63.0,input,0.3898017108440399,0.07657814345189504,1,4.824423037469387
H0,adv_linf_eps=0.4,199.0,fc1,0.5768568515777588,0.22376737344879002,1,44.529707316309214
H1,adv_linf_eps=0.4,60.0,fc1,0.4852179288864136,0.10032011605799199,1,6.019206963479519
H0,adv_linf_eps=0.4,199.0,fc2,0.6734275817871094,0.282821364607194,1,56.2814515568316
H1,adv_linf_eps=0.4,57.0,fc2,0.5060259103775024,0.10784810127919181,1,6.147341772913933
H0,adv_linf_eps=0.4,199.0,fc3,1.2339078187942505,0.36443617610476126,1,72.52279904484749
H1,adv_linf_eps=0.4,48.0,fc3,0.6511677503585815,0.12110747350379825,1,5.813158728182316
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H0,adv_l2_eps=0.2,199.0,input,0.3653205633163452,0.1693056721202842,1,33.691828751936555
H1,adv_l2_eps=0.2,63.0,input,0.3898017108440399,0.07657814345189504,1,4.824423037469387
H0,adv_l2_eps=0.2,199.0,fc1,0.5768568515777588,0.22376737344879002,1,44.529707316309214
H1,adv_l2_eps=0.2,60.0,fc1,0.4852179288864136,0.10032011605799199,1,6.019206963479519
H0,adv_l2_eps=0.2,199.0,fc2,0.6734275817871094,0.282821364607194,1,56.2814515568316
H1,adv_l2_eps=0.2,57.0,fc2,0.5060259103775024,0.10784810127919181,1,6.147341772913933
H0,adv_l2_eps=0.2,199.0,fc3,1.2339078187942505,0.36443617610476126,1,72.52279904484749
H1,adv_l2_eps=0.2,48.0,fc3,0.6511677503585815,0.12110747350379825,1,5.813158728182316
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H0,adv_l2_eps=0.4,199.0,input,0.3653205633163452,0.1693056721202842,1,33.691828751936555
H1,adv_l2_eps=0.4,63.0,input,0.3898017108440399,0.07657814345189504,1,4.824423037469387
H0,adv_l2_eps=0.4,199.0,fc1,0.5768568515777588,0.22376737344879002,1,44.529707316309214
H1,adv_l2_eps=0.4,60.0,fc1,0.4852179288864136,0.10032011605799199,1,6.019206963479519
H0,adv_l2_eps=0.4,199.0,fc2,0.6734275817871094,0.282821364607194,1,56.2814515568316
H1,adv_l2_eps=0.4,57.0,fc2,0.5060259103775024,0.10784810127919181,1,6.147341772913933
H0,adv_l2_eps=0.4,199.0,fc3,1.2339078187942505,0.36443617610476126,1,72.52279904484749
H1,adv_l2_eps=0.4,48.0,fc3,0.6511677503585815,0.12110747350379825,1,5.813158728182316
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H0,adv_linf_eps=0.2,199.0,input,0.8015348315238953,0.43670216981490056,2,86.9037317931652
H1,adv_linf_eps=0.2,84.0,input,1.2188143134117126,0.16069137517895019,2,13.498075515031815
H0,adv_linf_eps=0.2,199.0,fc1,1.2810063362121582,0.6291265111023457,2,125.1961757093668
H1,adv_linf_eps=0.2,70.0,fc1,1.1162490844726562,0.24108643020902362,2,16.876050114631653
H0,adv_linf_eps=0.2,199.0,fc2,1.8403570652008057,0.8292082386400232,2,165.01243948936462
H1,adv_linf_eps=0.2,75.0,fc2,1.603452205657959,0.31625653982162477,2,23.719240486621857
H0,adv_linf_eps=0.2,199.0,fc3,2.834303617477417,1.2774400012427238,2,254.21056024730206
H1,adv_linf_eps=0.2,60.0,fc3,2.801103353500366,0.514456930756569,2,30.867415845394135
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,2,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,2,0.0
H0,adv_linf_eps=0.4,199.0,input,0.8015348315238953,0.43670216981490056,2,86.9037317931652
H1,adv_linf_eps=0.4,84.0,input,1.2188143134117126,0.16069137517895019,2,13.498075515031815
H0,adv_linf_eps=0.4,199.0,fc1,1.2810063362121582,0.6291265111023457,2,125.1961757093668
H1,adv_linf_eps=0.4,70.0,fc1,1.1162490844726562,0.24108643020902362,2,16.876050114631653
H0,adv_linf_eps=0.4,199.0,fc2,1.8403570652008057,0.8292082386400232,2,165.01243948936462
