out_root,dataset,group,regime,epsilon,seed,ood_method,trial_id,adv_roc_auc,adv_pr_auc,adv_fpr95,ood_roc_auc,ood_pr_auc,ood_fpr95,adv_total,adv_success,ood_total,ood_success,run_dir
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000001,0.883308,0.471196,0.359322,0.748294,0.813778,0.877966,300,33,300,168,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000001
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000002,0.901284,0.501669,0.308475,0.736226,0.807774,0.891525,300,33,300,129,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000002
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000003,0.836775,0.528913,0.654237,0.744599,0.810979,0.891525,300,33,300,154,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000003
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000004,0.868721,0.444583,0.413559,0.755356,0.816699,0.833898,300,33,300,174,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000004
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000005,0.872830,0.442995,0.403390,0.754362,0.816683,0.874576,300,33,300,160,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000005
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000006,0.883308,0.471196,0.359322,0.748294,0.813778,0.877966,300,33,300,146,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000006
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000007,0.890293,0.460441,0.318644,0.742215,0.811189,0.884746,300,33,300,166,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000007
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000008,0.902722,0.497331,0.264407,0.738316,0.808170,0.871186,300,33,300,167,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000008
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000009,0.899538,0.495152,0.277966,0.738407,0.809363,0.898305,300,33,300,170,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000009
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000010,0.871495,0.433870,0.413559,0.755480,0.817244,0.864407,300,33,300,169,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000010
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000011,0.873035,0.445445,0.413559,0.754689,0.816869,0.874576,300,33,300,168,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000011
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000012,0.880534,0.468120,0.366102,0.749412,0.814567,0.894915,300,33,300,168,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000012
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000013,0.861736,0.415755,0.444068,0.758249,0.817864,0.823729,300,33,300,152,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000013
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000014,0.864201,0.418718,0.433898,0.757921,0.817851,0.827119,300,33,300,168,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000014
out_1,blobs,OOD/ood_baseline_noise,baseline,0.2,30,gaussian_noise,trial_000015,0.899846,0.499154,0.274576,0.737932,0.809104,0.901695,300,33,300,142,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_noise/runs/trials/trial_000015
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000001,0.883308,0.471196,0.359322,0.964802,0.977127,0.294915,300,33,300,280,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000001
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000002,0.901284,0.501669,0.308475,0.965040,0.977151,0.376271,300,33,300,274,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000002
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000003,0.836775,0.528913,0.654237,0.960203,0.974457,0.447458,300,33,300,279,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000003
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000004,0.868721,0.444583,0.413559,0.963299,0.976599,0.332203,300,33,300,282,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000004
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000005,0.872830,0.442995,0.403390,0.963819,0.976794,0.332203,300,33,300,279,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000005
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000006,0.883308,0.471196,0.359322,0.964791,0.977120,0.294915,300,33,300,277,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000006
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000007,0.890293,0.460441,0.318644,0.965096,0.977247,0.288136,300,33,300,279,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000007
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000008,0.902722,0.497331,0.264407,0.965299,0.977209,0.383051,300,33,300,280,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000008
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000009,0.899538,0.495152,0.277966,0.965299,0.977307,0.308475,300,33,300,280,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000009
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000010,0.871495,0.433870,0.413559,0.963706,0.976754,0.332203,300,33,300,280,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000010
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000011,0.899846,0.499154,0.274576,0.965243,0.977297,0.308475,300,33,300,278,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000011
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000012,0.893888,0.478158,0.311864,0.965175,0.977275,0.281356,300,33,300,279,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000012
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000013,0.901284,0.501669,0.308475,0.965040,0.977151,0.376271,300,33,300,278,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000013
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000014,0.903852,0.507795,0.288136,0.965028,0.977148,0.383051,300,33,300,278,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000014
out_1,blobs,OOD/ood_baseline_shift,baseline,0.2,30,uniform_wide,trial_000015,0.891320,0.462768,0.322034,0.964960,0.977181,0.284746,300,33,300,279,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shift/runs/trials/trial_000015
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000001,0.883308,0.471196,0.359322,0.564192,0.628680,0.938983,300,33,300,82,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000001
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000002,0.901284,0.501669,0.308475,0.558814,0.632134,0.949153,300,33,300,41,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000002
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000003,0.836775,0.528913,0.654237,0.615718,0.665286,0.888136,300,33,300,83,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000003
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000004,0.868721,0.444583,0.413559,0.573842,0.630685,0.898305,300,33,300,88,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000004
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000005,0.872830,0.442995,0.403390,0.572904,0.630700,0.918644,300,33,300,67,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000005
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000006,0.883308,0.471196,0.359322,0.564203,0.628692,0.938983,300,33,300,51,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000006
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000007,0.890293,0.460441,0.318644,0.563356,0.629670,0.945763,300,33,300,78,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000007
out_1,blobs,OOD/ood_baseline_shuffle,baseline,0.2,30,feature_shuffle,trial_000008,0.902722,0.497331,0.264407,0.560384,0.632687,0.959322,300,33,300,90,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out_1/blobs/OOD/ood_baseline_shuffle/runs/trials/trial_000008
