dataset,epsilon,method,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,roc_auc_count,pr_auc_mean,pr_auc_std,fpr_at_tpr95_mean,fpr_at_tpr95_std
Blobs,0.1,baseline,0.7741,0.0496,0.645,0.8163,10,0.4393,0.0206,0.8292,0.1085
Blobs,0.1,topology,0.5604,0.0466,0.4892,0.6151,10,0.2053,0.0311,0.9268,0.0276
Blobs,0.2,baseline,0.8165,0.0734,0.6215,0.8691,10,0.4041,0.0347,0.6366,0.2128
Blobs,0.2,topology,0.552,0.0673,0.4363,0.6293,10,0.1169,0.0212,0.9346,0.0576
Blobs,0.3,baseline,0.7741,0.0496,0.645,0.8163,10,0.4393,0.0206,0.8292,0.1085
Blobs,0.3,topology,0.5604,0.0466,0.4892,0.6151,10,0.2053,0.0311,0.9268,0.0276
MNIST,0.1,baseline,0.9494,0.0058,0.9411,0.9543,4,0.9431,0.0024,0.2231,0.0443
MNIST,0.1,topology,0.8457,0.0137,0.8156,0.8708,15,0.8379,0.0231,0.5972,0.0492
MNIST,0.2,topology,0.8457,0.0137,0.8156,0.8708,15,0.8379,0.0231,0.5972,0.0492
MNIST,0.3,topology,0.865,0.0235,0.8378,0.9019,15,0.8533,0.0258,0.5207,0.0784
Nested Spheres,0.1,baseline,0.4782,0.0231,0.4214,0.4987,10,0.322,0.0246,0.9761,0.0082
Nested Spheres,0.1,topology,0.4628,0.0204,0.4243,0.491,10,0.253,0.0088,0.963,0.0254
Nested Spheres,0.2,baseline,0.5405,0.0371,0.4408,0.5647,10,0.3568,0.0421,0.9778,0.0093
Nested Spheres,0.2,topology,0.4464,0.0351,0.3942,0.5037,10,0.1927,0.0165,0.9741,0.0163
Nested Spheres,0.3,baseline,0.4782,0.0231,0.4214,0.4987,10,0.322,0.0246,0.9761,0.0082
Nested Spheres,0.3,topology,0.4628,0.0204,0.4243,0.491,10,0.253,0.0088,0.963,0.0254
Synthetic Shapes,0.1,baseline,0.896,0.0125,0.8619,0.9027,10,0.9225,0.0061,0.564,0.0718
Synthetic Shapes,0.1,topology,0.8592,0.027,0.8187,0.8983,10,0.9125,0.0156,0.8705,0.0842
Synthetic Shapes,0.2,baseline,0.9834,0.0088,0.9588,0.9883,10,0.9869,0.0055,0.134,0.0742
Synthetic Shapes,0.2,topology,0.9748,0.0131,0.9462,0.9858,10,0.9796,0.008,0.1265,0.1261
Synthetic Shapes,0.3,baseline,0.8962,0.0389,0.7866,0.9142,10,0.9173,0.0266,0.5075,0.1134
Synthetic Shapes,0.3,topology,0.8577,0.0339,0.7879,0.9055,10,0.8935,0.0235,0.811,0.0862
Tabular,0.1,baseline,0.9273,0.0376,0.8325,0.9623,10,0.6597,0.1601,0.4045,0.1435
Tabular,0.1,topology,0.5478,0.1909,0.126,0.839,10,0.099,0.0568,0.7718,0.249
Tabular,0.2,baseline,0.7392,0.0237,0.7013,0.763,10,0.4969,0.1154,0.9727,0.0801
Tabular,0.2,topology,0.5321,0.1099,0.339,0.7,10,0.1491,0.0371,0.9536,0.0975
Tabular,0.3,baseline,0.6086,0.0665,0.533,0.704,10,0.4129,0.1079,0.9918,0.0125
Tabular,0.3,topology,0.5151,0.0722,0.4011,0.625,10,0.1543,0.0355,0.9609,0.053
Torus (1 hole),0.1,baseline,0.9977,0.0013,0.9958,1.0,10,0.9175,0.0463,0.0062,0.0029
Torus (1 hole),0.1,topology,0.6269,0.095,0.4812,0.7771,10,0.1407,0.055,0.855,0.1013
Torus (1 hole),0.2,baseline,1.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0
Torus (1 hole),0.2,topology,0.8667,0.2058,0.3042,0.9958,10,0.1617,0.2014,0.1333,0.2058
Torus (1 hole),0.3,baseline,0.9977,0.0013,0.9958,1.0,10,0.9175,0.0463,0.0062,0.0029
Torus (1 hole),0.3,topology,0.6269,0.095,0.4812,0.7771,10,0.1407,0.055,0.855,0.1013
Torus (2 holes),0.1,baseline,1.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0
Torus (2 holes),0.1,topology,0.9092,0.0494,0.8125,0.975,10,0.0564,0.0338,0.0908,0.0494
Torus (2 holes),0.2,baseline,0.5284,0.0349,0.5029,0.6228,10,0.5638,0.0367,0.9575,0.0153
Torus (2 holes),0.2,topology,0.5068,0.0207,0.4764,0.5372,10,0.5171,0.0211,0.9608,0.0206
Torus (2 holes),0.3,baseline,1.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0
Torus (2 holes),0.3,topology,0.9092,0.0494,0.8125,0.975,10,0.0564,0.0338,0.0908,0.0494
